Año,SEXO,LinkedIn,Diplomado_1,Diplomado_2,Especialización_1,Especialización_2,Maestría_1,Maestría_2,Doctorado,Docencia_2,Docencia_3,Administrativo_1,Administrativo_2,Administrativo_3,Director_1,Director_2,Director_3,Consultor_1,Consultor_2,Coordinador_1,Coordinador_2,Coordinador_3,Coach,Lider,Supervisor,M+TT(Años),M-TT(Años),TD,TA,TDir,TC,TCoor,TCoa,TLi,TSup,#_De_Empresas
2001,F,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,10,0,0,0,0,0,10,0,0,0,1
2002,F,SI,Ninguno,Ninguno,Salud Ocupacional,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Salud Ocupacional,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,8.16,4.83,0,0,8.16,4.83,0,0,0,0,2
2002,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Salud Ocupacional,Ejecutiva Integral,Asesor SST,NO,NO,NO,NO,NO,Gestión de Calidad,SST,NO,NO,NO,NO,10.75,1.08,1.08,10.75,0,0,3.5,0,0,0,6
2003,F,SI,Sistema de Gestión Integrados,Ninguno,Diseño y Evaluación de Proyectos,Seguridad y Salud en el Trabajo,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,Seguridad y Salud en el Trabajo,NO,NO,NO,NO,NO,10.58,7.83,0,7.83,0,0,10.58,0,0,0,2
2004,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Servicio al Cliente,Asistente Comercial,Represtante de Ventas,Operaciones y Estrategia,NO,NO,SAP,NO,Servicios Operativos,NO,NO,NO,NO,NO,10.5,1.08,0,2.83,1.08,10.5,1.25,0,0,0,15
2006,F,SI,Ninguno,Ninguno,Salud Ocupacional,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Servicio al Cliente,NO,NO,NO,NO,NO,NO,NO,Gestión de Calidad,NO,NO,NO,NO,Seguridad y Salud en el Trabajo,6.58,3.67,0,6.58,0,0,3.67,0,0,4.58,3
2003,M,SI,Ninguno,Ninguno,Logistica Empresarial,Dirección de Proyectos,Administración de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Almacenamiento,Logistico,NO,NO,Proyectos,Logistico,10.25,2.67,0,0,0,0,10.25,0,4.83,2.67,7
2001,F,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Axuliar de Compras,Ejecutiva Comercial,NO,Logística ,NO,NO,NO,NO,Logística,NO,NO,NO,NO,NO,7.75,3.58,0,5,3.58,0,9.75,0,0,0,5
2001,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ingeniería Administrativa,Ninguna,Gestión y Desarrollo de Negocios ,Universidad Autonoma del caribe,Universidad de Puerto Rico,Asistente,Analista,NO,NO,NO,NO,Gestión de Calidad,NO,Universitario,NO,NO,NO,NO,NO,16.5,1.5,16.5,0,1.5,5.5,3,0,0,0,10
2002,M,SI,Salud Ocupacional,Ninguna,Ninguna,Ninguna,Ciencias de la Educación,Ninguna,Ninguna,NO,NO,NO,Salud,Seguridad y Ambiente,NO,NO,Seguridad,Salud Ocupacional y Medio Ambiente,NO,NO,NO,NO,NO,NO,NO,10.5,6.33,0,0,10.5,6.33,0,0,0,0,2
2005,F,SI,Ninguno,Ninguno,Salud Ocupacional,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente SST,Gerente de Sistems de Gestión,NO,NO,NO,NO,Diseño de Sistemas,Gestión de Riesgos,NO,NO,NO,NO,NO,NO,12.5,9.33,0,9.33,0,12.5,0,0,0,0,8
2006,F,SI,Ninguno,Ninguno,Alta Gerencia,Ninguna,Ciencia de Datos,Ninguna,Ninguna,Ninguna,Ninguna,Analista de Facturación,NO,NO,Planificación,NO,NO,NO,NO,Atención Al Cliente,Comercial,Planificación,NO,NO,Control de Calidad,7.33,1.16,0,1.16,3.16,0,7.33,0,0,4.5,6
1999,M,SI,Salud Ocupacional,Gestión Logística Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asesor Ecónomico,Asesor Desarrollo,NO,Comercial,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,10.33,1,0,10.33,1,0,0,0,0,0,8
2006,F,SI,Ninguno,Ninguno,Salud Ocupacional,Gestión Social,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,SISO,Seguridad y Salud Ocupacional,NO,NO,NO,NO,NO,NO,Salud Ocupacional,Gestión de Calidad,NO,NO,NO,NO,8.16,0.5,0,8.16,0,0,7.08,0,0,0,9
2004,F,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Planeación de Operaciones,Jefe de Oficina,NO,Administrativo y Financiero,NO,NO,Logistico,NO,Administrativo y Documental,NO,NO,NO,NO,NO,7.5,1.08,0,7.5,5.92,2.92,1.08,0,0,0,7
2001,F,SI,Ninguno,Ninguno,Gestión de Calidad,Ninguna,Gestión de la Innovación,Ninguna,Administración,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,Procesos,NO,Investigación e Innovación,NO,NO,NO,NO,NO,18,1.67,0,0,0,1.67,18,0,0,0,2
2003,F,SI,Ninguno,Ninguno,Gestión de Calidad,Seguridad y Salud en el Trabajo,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente de Calidad,NO,NO,NO,NO,NO,NO,NO,Procesos,Gestión de Calidad,NO,NO,Calidad,NO,9.67,1.33,0,1.33,0,0,9.67,0,2,0,5
2000,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Gestión de Calidad,Logística,Logistica,Universidad de Puerto Rico-Bayamon,Universidad de Puerto Rico-Río Piedras,NO,NO,NO,NO,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,7.5,3,7.5,0,0,3,0,0,0,0,7
2003,F,SI,Ninguno,Ninguno,Gerencia Ocupacional,Gestión de Calidad,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asesor de Calidad,NO,NO,NO,NO,NO,NO,NO,Gestión de Calidad,NO,NO,NO,Sistema de Información Comercial,NO,7.67,1,0,1,0,0,7.67,0,3.08,0,9
2003,F,SI,Ninguno,Ninguno,Gestión Integrada,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista de Cuentas,Jefe de Compras,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Calidad,NO,7,4.5,7,4.5,0,0,0,0,5,0,9
2007,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Innovación y Emprendimiento,Ninguna,Ninguna,Ninguna,Ninguna,Auxiliar de Compras,Jefe de Logistica,NO,NO,NO,NO,NO,NO,Logística,NO,NO,NO,NO,Logistico,4.08,0.42,0,4.08,0,0,1.25,0,0,4,3
2007,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Administración de Negocios,Ninguna,Ninguna,Ninguna,Ninguna,Gerente,Asistente de Despacho,Jefe de Operaciones,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,11.5,0.83,0,11.5,0,0,0,0,0,0,4
2006,F,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,Estudiante Practicas,Jefe de Logística,NO,NO,NO,NO,NO,Servicio al Cliente,NO,NO,NO,Servicio al Cliente,NO,15,0.67,0,15,0,0,3.58,0,0.67,0,7
2007,M,SI,Docencia Inicial Universitaria,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente Logistico,NO,NO,NO,NO,NO,NO,NO,Logística,NO,NO,NO,NO,Operaciones,8.25,0.92,0,0.92,0,0,1.08,0,0,8.25,8
2007,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Planta,Planificador,NO,Planta y Producción,NO,NO,NO,NO,Producción,NO,NO,NO,NO,Producción,5.92,0.5,0,4.67,0.5,0,5.92,0,0,1.16,5
2007,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Finanzas,Ninguna,Ninguna,Ninguna,Ninguna,Cajero Auxiliar,Estudiante Practicas,Auxiliar de Proyectos,Finanzas,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,15,1.67,0,1.67,15,6,0,0,0,0,4
2007,F,SI,Ninguno,Ninguno,Administración de Negocios,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Comercial,NO,NO,NO,NO,NO,9.92,0,0,0,0,0,9.92,0,0,0,1
2007,M,SI,Gerencia de Proyectos,Sistemas Financeros,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Auxiliar de Gestión de Calidad,Auxiliar de Gestión Documental,Asesor Comercial,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,13.2,0.33,0,15,0,0,0,0,0,0,4
2007,M,SI,Diplomado en Talento Humano,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente de Importaciones,Jefe Administrativo,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,5.67,0.5,0,17.67,0,0,0,0,0,0,9
2007,M,SI,Ninguno,Ninguno,Gestión de Calidad,Alta Gerencia,Gestión de las Organizaciones,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Logistica,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Auditoria,14.5,0.92,0,14.5,0,0,0,0,0,0.92,2
2001,M,SI,Educación Ambiental,Ninguno,Salud Ocupacional,Análisis y Gestión Ambiental,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gerente de Operaciones,Asesor Externo,Asesor Gestión de Riesgo,NO,NO,NO,NO,NO,Seguridad y Salud en el Trabajo,Riesgo Corporativo,NO,NO,NO,Producción,5.92,3.33,0,3.33,0,0,5.92,0,0,5.33,7
2004,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista de Datos,Especialista en Reportes,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,Producción,7,3,0,7,0,0,0,0,0,3,7
1998,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ingeniería Administrativa,Ninguna,Ninguna,Universidad del Atlántico,Universidad Nacional Abierta y a Distancia,Asistente de Superintendencia,NO,NO,Administrativo y Financiero,NO,NO,NO,NO,Bienestar Humano,Programas de Posgrados,Programa de Ingenieria Industrial,NO,NO,NO,16.25,3.25,16.25,0,0,0,3.25,0,0,0,10
1999,F,SI,Ninguno,Ninguno,Finanzas,Ninguna,Gestión Administrativa de Negocios,Fianazas Internacionales,Ninguna,Ninguna,Ninguna,Analista Financiero,Analista de Negocios,Especialista Financiero,NO,NO,NO,Finanzas,NO,NO,NO,NO,NO,NO,NO,6.5,0.92,0,7.42,0,0,0,0,0,0,5
1998,F,SI,Ninguno,Ninguno,Estadística,Ninguna,Ingeniería Industrial,Ninguna,Ninguna,Ninguna,Ninguna,Analisis y Gestión de la Infomación,Asistente de Procesos y Metodos,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,16.5,0.92,0,16.5,0,0,0,0,0,0,5
1999,F,SI,Marketing,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista Comecial,Analista de Marketing,NO,NO,NO,NO,Corporativo,NO,Operaciones,NO,NO,NO,NO,NO,4.67,1,0,3.25,0,4.67,1,0,0,0,4
2004,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Finanzas,Ninguna,Ninguna,Ninguna,Ninguna,Cajero Auxiliar,Estudiante Practicas,Auxiliar de Proyectos,Finanzas,NO,NO,Gestión de Calidad,NO,NO,NO,NO,NO,NO,NO,15,1.67,0,1.67,15,6,0,0,0,0,4
