Año,SEXO,LinkedIn,Diplomado_1,Diplomado_2,Especialización_1,Especialización_2,Maestría_1,Maestría_2,Doctorado,Docencia_2,Docencia_3,Administrativo_1,Administrativo_2,Administrativo_3,Director_1,Director_2,Director_3,Consultor_1,Consultor_2,Coordinador_1,Coordinador_2,Coordinador_3,Coach,Lider,Supervisor,M+TT(Años),M-TT(Años),TD,TA,TDir,TC,TCoor,TCoa,TLi,TSup,#_De_Empresas
2002,M,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ingeniería Administrativa,Ninguna,Logistica,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,Logistico,NO,NO,NO,NO,NO,NO,NO,17,2.48,17,0,0,2.42,0,0,0,0,2
1999,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,16.75,0,16.75,0,0,0,0,0,0,0,1
2005,M,SI,Ninguno,Ninguno,Operaciones y Produccion,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,NO,NO,NO,NO,NO,Servicio al Cliente,Servicio al Cliente,NO,NO,NO,Producción,20,3.08,0,0,0,0,20,0,0,3.08,5
2001,M,SI,Ninguno,Ninguno,Direccion de Plantas Industriales,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Administrador,Jefe de Cadena Retail,Asesor Talento Humano,Operativo,NO,NO,NO,NO,Gestión de Calidad,NO,NO,NO,NO,Producción,5,0.92,0,5,1.75,0,0.92,0,0,2.5,8
2000,M,SI,Marketing,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Analista Comecial,Analista de Marketing,NO,NO,NO,NO,Corporativo,NO,Operaciones,NO,NO,NO,NO,NO,4.67,1,0,3.25,0,4.67,1,0,0,0,4
2004,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ingeniería Industrial,Ninguna,Gestión Tecnologica,Corporación Unversitaria de la Costa,Universidad Simón Bolivar,Gestor de Tecnología,NO,NO,Investigación,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,10.67,1,10.67,1,3,0,0,0,0,0,4
2004,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Compras,Reponedor de Productos,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,20,3,0,23,0,0,0,0,0,0,2
2003,F,SI,Ninguno,Ninguno,Derecho en el Medio Ambiente,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gestión Ambiental,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,13.5,0,0,13.5,0,0,0,0,0,0,1
2003,F,SI,Ninguno,Ninguno,Finanzas,Ninguna,Gestión Administrativa de Negocios,Ninguna,Ninguna,Ninguna,Ninguna,Estudiante de Practicas,Servicio Farmaceutico,NO,Operaciones y Estrategia,NO,NO,Gestión de Talento,Emprendimiento,Comercial,NO,NO,NO,NO,Procesos,8,2.25,0,7.5,2.25,8,0,0,0,1,8
2009,F,SI,Investigación acerca de la vulnerabilidad en la cadena de suministro,Seguridad y Salud Ocupacional,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente de Producción,Jefe de Ventas,Planificador,Delegado,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,6,5,5,6,0,0,0,0,0,0,6
2005,F,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Asistente Logistico,Planificador,NO,Servicio al Cliente,NO,NO,Logistico,NO,Logística,NO,NO,NO,Call Center,NO,12.5,0.5,4,8,1.6,0.5,12.5,0,2,0,6
2002,F,SI,Gerencia de Ventas,Ninguno,Gerencia de Empresas,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Ventas,Gerente,NO,Finanzas,NO,NO,Negocios,NO,NO,NO,NO,NO,Cuentas,NO,9,1.32,0,9,3.16,1.32,0,0,3.5,0,7
1999,M,SI,Ninguno,Ninguno,Gestión de Calidad,Gestión Pública,Gestión de Calidad,Ninguna,Dirección de Proyectos,Ninguna,Ninguna,Administrador,NO,NO,Finanzas,NO,NO,NO,NO,NO,NO,NO,NO ,NO,NO,21.5,0,0,0,21.5,0,0,0,0,0,1
2004,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Jefe de Planta,Jefe de Producción,Soporte y Operaciones,Costos y Presupuesto,Gestión de Proyectos,NO,Gestión de Calidad,NO,Gestión de Proyectos,NO,NO,NO,NO,NO,8.5,1,0,8.5,6.08,1,2.75,0,0,0,8
1999,M,SI,Ninguno,Ninguno,Pedagogía,Ninguna,Ingenieria Industrial,Ninguna,Ingenieria Industrial,Universidad de Cartagena,Universidad Autónoma del Caribe,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,18,0,18,0,0,0,0,0,0,0,5
2001,M,SI,Ninguno,Ninguno,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Gerente,Asesor Comercial,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,5,2.08,0,12.05,0,0,0,0,0,0,7
2000,M,SI,Ninguno,Ninguno,Logistica Empresarial,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,Ninguna,NO,NO,NO,Proyectos y Asesoria,NO,NO,Negocios,NO,Logística,Distribución y Ventas,NO,NO,Equipos,NO,6,3,0,0,1,2,7.08,0,0,0,6
