DEPARTAMENTO,MUNICIPIO,FECHA,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS_DESTRUIDAS,HECTAREAS,RECURSOS_EJECUTADOS,VALOR_KIT_DE_ALIMENTO,VALOR_MATERIALES_DE_CONSTRUCCION,VALORES_MATERIALES_DE_CONSTRUCCION
ANTIOQUIA,SANTAFE DE ANTIOQUIA,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
ANTIOQUIA,BELEN,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3,0,0,0,0
ANTIOQUIA,DISTRACCION,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5,0,0,0,0
ANTIOQUIA,MELGAR,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,7,0,0,0,0
ANTIOQUIA,UNE,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,LA PALMA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,AGUA DE DIOS,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,SILVANIA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,SILVANIA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,SILVANIA,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6,0,0,0,0
ANTIOQUIA,AMALFI,01/04/19,ACCIDENTE MINERO,1,1,0,0,0,0,0,0,0
ANTIOQUIA,BOGOTA DC,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4,0,0,0,0
ANTIOQUIA,AGUACHICA,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2,0,0,0,0
ANTIOQUIA,INIRIDA,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1,0,0,0,0
ANTIOQUIA,OROCUE,01/04/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,600,0,0,0,0
ANTIOQUIA,OROCUE,01/03/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,800,0,0,0,0
ANTIOQUIA,LA URIBE,01/05/19,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,8,0,0,0,0
